date_time,Netflix,Twitter,DailyMotion,Google,Deezer
2019-04-14 04:18:00,340702555.6172801,63013022.73483316,494900291.51269096,50406338.62919729,134308842.38003513
2019-04-14 04:24:00,381250016.79227513,67112474.8339838,198300965.32347772,90080542.99326041,123635798.09680226
2019-04-14 04:30:00,474746294.21143496,72580886.09152068,2434276.874874501,79264702.84400699,131175236.90815276
2019-04-14 04:36:00,459886818.7060065,51818260.64836398,17094048.502215926,25183139.24850516,47559636.60923865
2019-04-14 04:42:00,232239458.63793442,35244275.76229289,5571382.411676437,37807289.97768377,60182555.28204593
2019-04-14 04:48:00,405469607.15629387,48096832.03874078,23795292.302969925,323557799.1259492,88089169.3501583
2019-04-14 04:54:00,509291995.4447092,78650273.22735712,39430440.78889292,135429756.06537983,79391036.8751685
2019-04-14 05:00:00,255128911.50719777,67228166.7774619,23205048.458887186,37108418.359404795,121067107.64873496
2019-04-14 05:06:00,439763446.82738686,99620688.30585858,1561071.7319825538,48136535.44294752,21056659.01875937
2019-04-14 05:12:00,418780788.79553175,34688798.486105256,3321098.5166410236,137463680.29615474,61756832.16755171
2019-04-14 05:18:00,172188442.17097887,48349750.9549406,228614596.3366748,221795036.1117493,106063152.69154486
2019-04-14 05:24:00,230979992.53595075,55667137.7778737,414194284.49974936,122559256.07308932,69367150.79786272
2019-04-14 05:30:00,225542989.3161161,87297189.81083359,379798275.2663031,42162424.69658293,59772359.54993957
2019-04-14 05:36:00,166680162.13708338,32729541.109449565,408181218.30830866,99386202.05459313,54756590.35241249
2019-04-14 05:42:00,150385659.40468103,38213040.023171306,362190904.05410916,108589000.70830467,54913481.52878439
2019-04-14 05:48:00,237736068.06862944,52789924.22207137,1398519.456483826,43538729.11237836,70393134.9150499
2019-04-14 05:54:00,196506940.66931465,17022693.478680894,611113.8627432733,17374488.287057683,81573434.84718746
2019-04-14 06:00:00,130340265.44779554,58369229.78159994,3780196.6624316038,22774724.9639106,23289069.990904536
2019-04-14 06:06:00,70747278.3912213,27013875.10778157,12396980.273855232,56386224.132123016,37373524.40015418
2019-04-14 06:12:00,50987485.17446412,19726183.03437408,71716259.97889104,168358443.51450634,91521041.6659418
2019-04-14 06:18:00,120033303.02303328,33579429.36892851,104275903.13186397,49148961.77302487,84698282.77155535
2019-04-14 06:24:00,59383606.72231151,28643593.950021494,76738886.68834995,94395348.85591246,49019683.64982387
2019-04-14 06:30:00,143360742.51276815,29118437.48804159,77251458.93227954,172966162.09415376,19732011.11282014
2019-04-14 06:36:00,166893851.81859753,35008235.33935889,65704856.48746014,74782261.68656641,64126518.07971561
2019-04-14 06:42:00,173588160.58738822,20239371.02189249,86652031.88353808,58879433.95655959,19939949.370419286
