date_time,Google,Twitter,Netflix,DailyMotion,Deezer
2019-05-21 12:00:00,1906043186.5550637,265444101.00196257,811916074.9696003,255122634.43123832,795701606.32445
2019-05-21 12:06:00,1643574386.3386526,267072713.3066533,752967417.0638517,300989234.99686927,1144481207.8088515
2019-05-21 12:12:00,1602638781.173969,286112463.4016274,719747560.3656535,211496521.9496767,603509211.843088
2019-05-21 12:18:00,1614610749.7135096,375063213.26324433,981562936.5244672,351107558.7996491,699473554.1949522
2019-05-21 12:24:00,1676355699.8117414,385962747.6475864,763355838.7211335,599579419.7518401,606608967.2348447
2019-05-21 12:30:00,1558900613.8810182,331089766.5004207,891990427.6620221,406376073.341551,667358261.8461592
2019-05-21 12:36:00,1802451736.8501205,353132472.41115206,1264912289.4747946,436311199.302278,527248161.151996
2019-05-21 12:42:00,1986890518.443317,328846349.10942537,1149170523.9118707,730736730.9157621,576009299.7151402
2019-05-21 12:48:00,1881708513.4044747,335449826.34431,1062427766.1965543,408839685.5408975,441375053.21855927
2019-05-21 12:54:00,1543056001.1583138,320019861.9974607,1119775922.508728,244679450.52344176,433279698.31851625
2019-05-21 13:00:00,1746972008.61059,373588190.7683296,1141444626.9218385,211972608.10424036,439073974.11014414
2019-05-21 13:06:00,1781079287.6446266,286581462.35630804,1618237316.0666828,267594860.57217976,879825176.1588129
2019-05-21 13:12:00,1657263249.5318115,326808454.8207478,1025308113.0928946,255459349.31803024,579426894.8902493
2019-05-21 13:18:00,1301506239.2128842,269997857.56822604,1172293592.3808208,278847948.1620329,593511187.7611178
2019-05-21 13:24:00,1683100114.891275,252883211.58208042,1350901968.7011313,338782633.4609037,471913081.6302126
2019-05-21 13:30:00,1611545363.3207824,276543046.18810767,1293748754.3237615,154892130.43509287,406587219.2785593
2019-05-21 13:36:00,1752223096.2991295,313037118.26095486,1474951983.8258815,165440750.56263158,689590743.538443
2019-05-21 13:42:00,1756699313.88538,261658520.89596665,926545965.3541508,225674701.90498465,779174646.1923523
2019-05-21 13:48:00,1440707714.593702,358849816.15897423,862549004.1549996,173338260.4008805,767124069.1367322
2019-05-21 13:54:00,1412248213.669989,206434327.4241046,598317941.6282972,222539755.9165104,398687921.45861584
2019-05-21 14:00:00,1464549792.6870189,278978189.63148564,423699982.7291912,136820947.66945967,586178733.482209
2019-05-21 14:06:00,1111040169.0496495,208472701.20041084,676686018.7521818,145627053.02951965,559639055.7234521
2019-05-21 14:12:00,1473772251.2223508,181355241.32616413,927058132.7723682,142764958.7128565,521303899.217227
2019-05-21 14:18:00,1077644282.1582642,276235962.3579954,1011207031.9746912,268247416.34785685,682559545.6723295
2019-05-21 14:24:00,1144207020.3753486,387032335.5776844,965882432.4079287,114526214.82880868,592265372.8683759
2019-05-21 14:30:00,988260430.7869127,312281063.7722486,1361168896.870503,185813444.77183068,493575302.38232136
2019-05-21 14:36:00,1062833252.5626106,292072096.07369643,745081978.0283115,365195615.44113284,462773259.93454903
2019-05-21 14:42:00,1229304963.0032983,239664528.3271456,1084491120.3468,362179273.66953087,476069259.9847999
2019-05-21 14:48:00,1145170933.6209433,234553796.3869536,1066660036.6382412,254060448.22729477,451554058.87088615
2019-05-21 14:54:00,968772469.124965,218794958.698752,604722927.2831782,251177447.30304247,450206514.42865306
2019-05-21 15:00:00,1302691304.5041914,204062537.94758788,1213867698.165936,185721887.78611055,530642341.8356961
2019-05-21 15:06:00,1143335066.4080722,263257166.0808645,958889384.7305851,216791369.03006282,477229325.4794642
2019-05-21 15:12:00,1386960879.788585,206365626.51839077,1355933850.0285316,397681167.39858997,631306361.5486432
2019-05-21 15:18:00,968380901.7494535,190978660.7528726,931519606.5285712,306175793.84142596,513843751.3761427
2019-05-21 15:24:00,1019346010.5577816,225283408.6342733,1235439293.5240993,439022114.13582605,424825819.5988001
2019-05-21 15:30:00,1016489862.7426245,291185921.69336784,1064217374.9828148,210941381.60121584,554113028.4532533
2019-05-21 15:36:00,974519081.2566495,289224814.69752014,818824602.7296879,232289136.94385567,322316434.4553513
2019-05-21 15:42:00,1046980340.3972492,190552413.43743,811975832.7124474,403226352.10956514,603109684.0359626
2019-05-21 15:48:00,1255496381.530062,271119406.2240109,786778474.9284742,523828534.85946435,426932637.8026843
2019-05-21 15:54:00,1262179389.6383116,370248062.582763,516676856.97027785,395664287.2853336,664722841.2588876
