date_time,Twitter,Netflix,DailyMotion,Google,Deezer
2019-05-01 11:54:00,393259005.4804117,726367265.087876,341489655.39794034,634948081.1546725,402806116.8225547
2019-05-01 12:00:00,426912026.441956,1138113412.3705187,95162019.04695097,815426165.571356,416971075.7110611
2019-05-01 12:06:00,428130792.59895355,1295887272.0102842,155975956.31231147,441287712.23522997,635958129.0904483
2019-05-01 12:12:00,509158019.17863154,1421063500.3436544,101065498.4054568,668404969.182281,512103138.603273
2019-05-01 12:18:00,559909866.707957,754913508.2653022,98392208.1542534,604210987.2020686,312924424.7521501
2019-05-01 12:24:00,483219430.33208,1167599161.8014624,87779924.67956801,512678524.71729577,283947105.930358
2019-05-01 12:30:00,460004114.46064365,616210960.6117718,119264383.07739142,614181532.1831021,365310887.2758696
2019-05-01 12:36:00,408906434.3193438,808402367.3258487,177204494.59906757,1143086322.4621954,344295178.9111064
2019-05-01 12:42:00,414810700.63560617,891489604.1236912,408393182.9586315,559804293.4038208,509246297.45071495
2019-05-01 12:48:00,331823020.6122301,1300045938.6805944,145284092.19273242,705909341.786092,478878384.6400666
2019-05-01 12:54:00,312413119.30800897,1461818367.6033347,174754694.38326868,1228934697.4028912,305748052.82721704
2019-05-01 13:00:00,412942457.43432415,1863828211.8071413,171685588.28301954,615934878.2848281,283790636.59516704
2019-05-01 13:06:00,407452468.24817234,1316401809.2822926,83910247.41575971,358362196.7533654,267877834.980184
2019-05-01 13:12:00,515305076.12505937,1586746027.2697468,103749876.51643032,592260390.0094535,185597378.6337528
2019-05-01 13:18:00,467454009.8204167,1638817480.8642194,128881958.0697251,645655871.0537835,266584827.84134096
2019-05-01 13:24:00,379052795.5085099,1486257388.4597335,71350073.06025124,704406045.9543606,281990186.19822115
2019-05-01 13:30:00,479157126.1485148,1788184500.1917782,65126823.99550284,741976480.0589335,236479894.25463623
2019-05-01 13:36:00,372325747.8266234,1404434022.2346199,88570858.40995589,755707929.4797543,241026174.05425587
2019-05-01 13:42:00,348823074.0992507,1435373279.9427931,146588137.61393693,633372036.5129918,223931414.30438337
2019-05-01 13:48:00,296099103.1901142,1621394991.7638392,48563630.79134357,567962696.4649676,227238303.56317028
2019-05-01 13:54:00,297108355.79451394,836105092.6847596,105189343.6855294,877729583.8116927,181590107.5042964
2019-05-01 14:00:00,369586020.17519873,921881755.0281383,271697417.6646771,503636370.2536924,265583579.8193896
2019-05-01 14:06:00,458325586.7582499,1713359966.712985,198903019.2264012,674638354.4123414,629971873.9320853
2019-05-01 14:12:00,469680537.02780515,1720235486.177558,85404100.20205572,894277667.199549,884307165.5035158
2019-05-01 14:18:00,492442141.6467502,1892669483.7428586,98166416.11960477,766200149.4885178,436903176.021384
2019-05-01 14:24:00,510016606.41590613,2402465888.5468183,246507343.99520612,738051535.2873704,494772793.9818903
2019-05-01 14:30:00,501324826.30679727,1969396915.3800852,63096848.84468351,622761463.8429831,329374418.60589033
2019-05-01 14:36:00,601361287.5973293,2147839769.7647038,191379217.44518563,395368159.33445334,447516585.3956457
2019-05-01 14:42:00,575415552.5820493,1576548133.6076849,104002428.40709844,475551328.0974359,294264047.7961212
2019-05-01 14:48:00,597163272.8257957,1701325942.4683495,73008801.33085823,524197137.8384648,307318978.73726565
2019-05-01 14:54:00,487874179.85029376,1518496004.3629036,116041064.2795256,687709521.33703,472771917.3280453
2019-05-01 15:00:00,561566537.4617618,1401371302.5814865,95868060.45501728,529770631.9130937,311613488.1530433
2019-05-01 15:06:00,509108521.7162587,1154331178.9711006,133189316.05969717,423588136.495391,605867522.6851676
2019-05-01 15:12:00,537528706.2174362,1085940397.8400984,138187020.86733767,612277476.8083436,288389476.02878463
2019-05-01 15:18:00,528449702.0830746,1673094377.2443142,108253533.49877156,525919329.1219601,511226012.1781657
2019-05-01 15:24:00,440625710.4681233,993472533.2120688,51178276.97446217,822060891.6718688,375421412.50613225
2019-05-01 15:30:00,512466188.0339005,1260991116.4124105,94648449.36731194,822889077.9779317,317036421.3924377
